name,cuisines,opening_time,call,mark,review_number,location_txt,location_url,location_latitude,location_longitude
" 
Hawker Street Cafe","Coffee and Tea,Cafe Food",Opens at 7:30am,+61883462884,4.2,196,"22 Hawker Street, Bowden","https://www.google.com/maps/dir/?api=1&destination=-34.9004110765,138.5804435983",-34.9004110765,138.5804435983
Parisi's Restaurant Hyde Park,"European,Italian,Pizza",Opens at 11:30am,+61883735142,4.3,215,"138 King William Road, Unley, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9536666667,138.5998694444",-34.9536666667,138.5998694444
Mr. Bulgogi,Korean,Opens at 11am,+61883591121,3.8,112,"Shop 1, 32-36 Metro Parade, Mawson Lakes","https://www.google.com/maps/dir/?api=1&destination=-34.8059770000,138.6149380000",-34.8059770000,138.6149380000
Antica Pizzeria E Cucina,"Italian,Pizza,Tapas",Opens at 11:30am,+61882726696,4.0,176,"144b King William Road, Unley, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9539222222,138.5999305556",-34.9539222222,138.5999305556
The Market Shed on Holland,"Healthy Food,Bakery,Coffee and Tea,Cafe Food",Opens on Sunday at 9am,+61411201760,4.0,105,"1 Holland Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9346932000,138.6002491000",-34.9346932000,138.6002491000
Beyond India,Indian,Opens at 12noon,+61882673820,4.3,228,"170 O'Connell Street, North Adelaide, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9037861111,138.5951388889",-34.9037861111,138.5951388889
Coffee Institute,"Coffee and Tea,Cafe Food",Opens at 7am,+61882692768,4.1,107,"96 Walkerville Terrace, Walkerville","https://www.google.com/maps/dir/?api=1&destination=-34.8961598380,138.6162118614",-34.8961598380,138.6162118614
" 
Jerusalem Sheshkebab House","Lebanese,Middle Eastern",Opens at 12noon,+61882126185,4.1,188,"131b Hindley Street, Adelaide, City Centre, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9230805556,138.5946055556",-34.9230805556,138.5946055556
PappaRich,Malaysian,Opens at 11am,+61872259991,3.5,189,"116-116A Gouger Street, Adelaide, South Australia 5000 Australia","https://www.google.com/maps/dir/?api=1&destination=-34.9300880000,138.5950630000",-34.9300880000,138.5950630000
" 
The Annex Cafe","Healthy Food,Coffee and Tea,Cafe Food",Opens at 8:30am,+61882944754,4.0,120,"3 Waterloo Street, Glenelg, Adelaide Glenelg","https://www.google.com/maps/dir/?api=1&destination=-34.9799414906,138.5157752037",-34.9799414906,138.5157752037
Please Say Please,"Coffee and Tea,Cafe Food",Opens at 7am,Not available for this place,4.1,132,"Shop 2, 50 Grenfell Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9242876175,138.6017450318",-34.9242876175,138.6017450318
" 
Red Cacao Chocolatier","Desserts,Coffee and Tea,Cafe Food",Opens at 9am,+61883393128,4.3,99,"Shop 3, 41 Mount Barker Road, Stirling","https://www.google.com/maps/dir/?api=1&destination=-35.0046857739,138.7168496847",-35.0046857739,138.7168496847
The Playford Restaurant,Modern Australian,Opens at 6:30am,+61882138844,4.2,111,"120 North Terrace,  Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9215888889,138.5960222222",-34.9215888889,138.5960222222
Regent Thai,Thai,Opens at 12noon,+61882390927,4.4,194,"165 O'Connell Street, North Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9037800130,138.5949805006",-34.9037800130,138.5949805006
" 
Kutchi Deli Parwana","Middle Eastern,Afghan",Opens at 11:30am,+61872258586,4.1,87,"7 Ebenezer Place, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9227344404,138.6091958731",-34.9227344404,138.6091958731
Union Hotel,"Pub Food,Modern Australian",Opens at 11am,+61882312144,4.2,190,"70 Waymouth Street,  Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9250859116,138.5972335562",-34.9250859116,138.5972335562
" 
Chocolate @ No. 5","Desserts,Coffee and Tea,Cafe Food",Opens at 10am,+61883881835,4.2,147,"5 Main Street, Hahndorf","https://www.google.com/maps/dir/?api=1&destination=-35.0333959446,138.8126608729",-35.0333959446,138.8126608729
303 By The Sea,"Healthy Food,Coffee and Tea,Cafe Food",Opens at 11am,Not available for this place,3.8,74,"303 Seaview Road, Henley Beach, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9167378012,138.4932949394",-34.9167378012,138.4932949394
" 
Candela Latin American Food",Latin American,Opens at 11:30am,+61882711132,4.0,98,"120 Goodwood Road, Goodwood, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9504257879,138.5897086188",-34.9504257879,138.5897086188
Bracegirdle's,"Desserts,Coffee and Tea,Cafe Food",Opens at 8am,+61882948482,3.9,195,"31 Jetty Road, Glenelg","https://www.google.com/maps/dir/?api=1&destination=-34.9802060000,138.5133670000",-34.9802060000,138.5133670000
" 
Godi La Vita",Italian,Opens at 11am,+61883777844,3.4,77,"162B King William Road, Hyde Park, Adelaide",https://www.zomato.com/adelaide/restaurants/italian/,/,
Jenny's Gourmet Bakery,"Bakery,Coffee and Tea,Cafe Food",Opens at 8am,+61882729699,4.1,135,"81 Glen Osmond Road, Eastwood","https://www.google.com/maps/dir/?api=1&destination=-34.9440083333,138.6214611111",-34.9440083333,138.6214611111
Trouble and Strife,"Coffee and Tea,Cafe Food",Opens at 7:30am,+61882713991,3.9,71,"123 Goodwood Road, Goodwood, Goodwood, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9519166667,138.5897527778",-34.9519166667,138.5897527778
" 
The Little Eastern","Lebanese,Cafe Food",Opens at 8am,+61884319061,4.0,97,"389, Magill Road, St Morris","https://www.google.com/maps/dir/?api=1&destination=-34.9142500000,138.6523277778",-34.9142500000,138.6523277778
The Strand Cafe Restaurant,"Mediterranean,Pizza,Coffee and Tea",Opens at 8:30am,+61883769222,4.1,201,"108 Jetty Road, Glenelg, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9803128000,138.5140118000",-34.9803128000,138.5140118000
Boatshed Cafe,"Australian,Coffee and Tea,Cafe Food",Opens at 8:30am,+61883224000,4.1,141,"1 Heron Way, Hallett Cove, Hallett Cove, Hallett Cove, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-35.0786934583,138.4966054559",-35.0786934583,138.4966054559
" 
Pho Linh","Chinese,Vietnamese",Opens at 10am,+61884820338,4.2,107,"Shop 17, 41 Bagster Road, Salisbury North, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.7542083333,138.6325694444",-34.7542083333,138.6325694444
La Madeleine,"Desserts,French,Patisserie,Coffee and Tea,Cafe Food",Opens at 6am,+61430300638,3.7,73,"246 The Parade, Norwood, Norwood, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9210972222,138.6398472222",-34.9210972222,138.6398472222
" 
Clever Little Tailor",Drinks Only,Opens at 4pm,Not available for this place,4.2,117,"19 Peel Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9236983000,138.5981351000",-34.9236983000,138.5981351000
" 
Five Little Figs","Healthy Food,Cafe Food",Opens at 8:30am,+61415332438,4.0,67,"52 Devitt Avenue, Trinity Gardens","https://www.google.com/maps/dir/?api=1&destination=-34.9071994027,138.6460138857",-34.9071994027,138.6460138857
Saigon Gate,Vietnamese,Opens at 11am,+61882602588,4.4,116,"402 Prospect Road, Kilburn, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.8634555556,138.5925305556",-34.8634555556,138.5925305556
T-Chow,Chinese,Opens at 11am,+61884101413,3.5,187,"68 Moonta Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9297027778,138.5959777778",-34.9297027778,138.5959777778
" 
Jimmies Restaurant","Mediterranean,Pizza",Opens at 5:30pm,+61883391534,4.1,146,"6 Main Street, Crafers, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9975380000,138.7040140000",-34.9975380000,138.7040140000
" 
Louca's Seafood Grill",Seafood,Opens at 12noon,+61882326792,3.9,82,"Shop 1, 242, Pulteney Street, Adelaide, City Centre, Adelaide",https://www.zomato.com/adelaide/restaurants/sea-food/,d/,
" 
Cafe Brunelli","Italian,Coffee and Tea,Cafe Food",24 Hours (Today),+61882232221,2.5,280,"187 Rundle Street, Adelaide, City Centre, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9226956793,138.6067520455",-34.9226956793,138.6067520455
Coffylosophy,"Coffee and Tea,Cafe Food",Opens at 7am,+61882271860,3.7,102,"198a Hutt Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9320431668,138.6122079939",-34.9320431668,138.6122079939
Botanic Gardens Restaurant,Modern Australian,Opens at 12noon,+61882233526,4.0,65,"Botanic Gardens of Adelaide, Friends' Gate, Plane Tree Drive,   North Adelaide, City Centre, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9178003000,138.6099429000",-34.9178003000,138.6099429000
" 
Gusto Ristorante","Italian,Cafe Food",Opens at 11:30am,+61883646422,3.5,196,"121 The Parade, Norwood","https://www.google.com/maps/dir/?api=1&destination=-34.9210602749,138.6336311325",-34.9210602749,138.6336311325
" 
Sir Cafe","Asian,Desserts",Opens at 3pm,+61882270931,3.7,82,"Level 1, 238a Rundle Street, City Centre, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9226409739,138.6084783822",-34.9226409739,138.6084783822
" 
Long Lost Friend","Coffee and Tea,Cafe Food",Opens at 8am,+61883310847,3.7,73,"523 Magill Road, Kensington Gardens","https://www.google.com/maps/dir/?api=1&destination=-34.9134271323,138.6675741524",-34.9134271323,138.6675741524
" 
Queen's Head Hotel",Modern Australian,Opens at 11:30am,+61882671139,4.3,131,"117 Kermode Street, North Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9115870000,138.5964660000",-34.9115870000,138.5964660000
" 
Tongue Thai'D","Asian,Thai",Opens at 11:30am,+61882346884,3.9,169,"54 Henley Beach Road, Mile End, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9235111111,138.5746305556",-34.9235111111,138.5746305556
Stamps,Modern Australian,Opens at 12noon,+61882728815,4.3,112,"12 Welbourne Street, Mitcham","https://www.google.com/maps/dir/?api=1&destination=-34.9791569167,138.6209707707",-34.9791569167,138.6209707707
" 
The Pickled Duck","Pub Food,Pizza",Opens at 9:30am,+61882650203,3.5,91,"993 North East Road, Modbury, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.8305350149,138.6890780926",-34.8305350149,138.6890780926
Gilbert Street Hotel,"Burger,Bar Food",Opens at 11am,+61882319909,4.0,121,"88 Gilbert Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9344527778,138.5970611111",-34.9344527778,138.5970611111
@ Thai,Thai,Opens at 11am,+61883412442,4.2,115,"Shop 7 / 140 Grand Junction Road, Rosewater, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.8517415949,138.5270404816",-34.8517415949,138.5270404816
" 
Delhi Spice",Indian,Opens at 12noon,+61881772355,4.1,143,"271a Oaklands Road, Marion, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9955182312,138.5488364473",-34.9955182312,138.5488364473
The Boatdeck Cafe & Pizzeria,"Pizza,Coffee and Tea,Cafe Food",Opens at 8am,+61882629622,3.6,159,"121 Mawson Lakes Boulevard, Mawson Lakes","https://www.google.com/maps/dir/?api=1&destination=-34.8110652045,138.6162658408",-34.8110652045,138.6162658408
" 
Base Bar","Pizza,Tapas",Opens at 5pm,+61884313213,3.7,106,"234 The Parade, Norwood","https://www.google.com/maps/dir/?api=1&destination=-34.9210861111,138.6393138889",-34.9210861111,138.6393138889
" 
Bricks and Stones","Healthy Food,Coffee and Tea,Cafe Food",Opens at 8am,+61431443808,3.8,46,"190C, Unley Road, Unley, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9501208231,138.6070971251",-34.9501208231,138.6070971251
Mr Viet,Vietnamese,Opens at 10am,+61882123626,3.9,89,"20 James Place, Adelaide, City Centre, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9236184000,138.6007149000",-34.9236184000,138.6007149000
" 
48 Flavours","Ice Cream,Desserts",Opens at 12noon,+61882116180,4.1,88,"78 Gouger Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9302666667,138.5964194444",-34.9302666667,138.5964194444
" 
Zambrero Rundle Street",Mexican,Opens at 10am,+61882322006,4.0,150,"2/214-216 Rundle Street, Adelaide, City Centre, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9225296387,138.6076696962",-34.9225296387,138.6076696962
Taste of Nepal,"Asian,Indian,Tibetan",Opens at 5pm,+61883322788,4.5,123,"300 The Parade, Beulah Park, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9209590000,138.6444850000",-34.9209590000,138.6444850000
European Cafe,"Italian,Mediterranean",Opens at 5pm,+61884312145,4.1,136,"219-219B The Parade, Norwood, Norwood, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9209888889,138.6392833333",-34.9209888889,138.6392833333
" 
Goodies & Grains Kitchen","Healthy Food,Vegetarian,Coffee and Tea,Cafe Food",Opens at 7:30am,+61882215967,3.9,72,"Shop 23, Central Market Plaza, Gouger Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9297108615,138.5967460647",-34.9297108615,138.5967460647
Samui Thai,Thai,Opens at 12noon,+61883645400,4.3,86,"548 Greenhill Road, Hazelwood Park","https://www.google.com/maps/dir/?api=1&destination=-34.9384157807,138.6597665772",-34.9384157807,138.6597665772
" 
Zak's Greek Restaurant",Greek,Opens at 12noon,+61883535000,3.8,131,"149 Brebner Drive, West Lakes, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.8782530000,138.4890980000",-34.8782530000,138.4890980000
Beach Burrito Company,"Mexican,Vegetarian",Opens at 5pm,+61883763772,3.2,103,"56 Jetty Road, Glenelg, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9805315000,138.5138035000",-34.9805315000,138.5138035000
" 
Social Street S2",Thai,Opens at 8:30am,+61882321625,3.6,73,"174A Hutt Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9314016177,138.6124131829",-34.9314016177,138.6124131829
The Moseley,Bar Food,Opens at 11:30am,+61882953966,3.7,97,"11 Moseley Square, Glenelg, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9793978000,138.5093052000",-34.9793978000,138.5093052000
Mayflower Restaurant and Bar,"Modern Australian,Bar Food",Opens at 6:30am,+61882108899,3.9,43,"45 King William Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9232880000,138.5990820000",-34.9232880000,138.5990820000
" 
Villa 77","Spanish,Tapas,Bar Food",Opens at 11am,+61872302666,3.3,70,"77 Unley Road, Unley","https://www.google.com/maps/dir/?api=1&destination=-34.9458817048,138.6071708053",-34.9458817048,138.6071708053
Bar 9 Central,"Coffee and Tea,Cafe Food",Opens at 8am,Not available for this place,3.9,91,"Adelaide Central Plaza, 100 Rundle Mall, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9220603798,138.6033674330",-34.9220603798,138.6033674330
" 
Café Chennai","Indian,Malaysian",Opens at 11am,+61882697850,4.0,121,"230 Main North Road, Prospect","https://www.google.com/maps/dir/?api=1&destination=-34.8786277778,138.6024472222",-34.8786277778,138.6024472222
" 
Bai Long Store","Asian,Fusion",Opens at 12noon,+61882325484,4.0,66,80 Hutt Street,"https://www.google.com/maps/dir/?api=1&destination=-34.9277100000,138.6123920000",-34.9277100000,138.6123920000
" 
Fellini Cafe",Italian,Opens at 8am,+61882392235,3.1,181,"102 O&#039;Connell Street, North Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9058000000,138.5959777778",-34.9058000000,138.5959777778
" 
White House [Fortified] Food + Wine",French,Opens on Saturday at 11am,+61871110030,4.2,113,"90 Main Street, Hahndorf","https://www.google.com/maps/dir/?api=1&destination=-35.0275000000,138.8087166667",-35.0275000000,138.8087166667
Cafe Saba,"Vietnamese,Cafe Food",Opens at 10am,+61883632006,4.0,98,"47 The Parade, Norwood","https://www.google.com/maps/dir/?api=1&destination=-34.9211000000,138.6284333333",-34.9211000000,138.6284333333
" 
Locavore Wine Bar","Modern Australian,Modern European",Opens at 11am,+61883394416,4.1,131,"49 Mount Barker Road, Stirling","https://www.google.com/maps/dir/?api=1&destination=-35.0051938000,138.7167309000",-35.0051938000,138.7167309000
" 
Taj Tandoor",Indian,Opens at 12noon,+61883592066,3.2,172,"290 Rundle Street, City Centre, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9223022945,138.6101758853",-34.9223022945,138.6101758853
" 
Aux fines Bouches","French,Bakery,Patisserie,Coffee and Tea",Opens at 8am,+61883772328,4.3,49,"496 Brighton Road, Brighton","https://www.google.com/maps/dir/?api=1&destination=-35.0207339154,138.5233779252",-35.0207339154,138.5233779252
Don Don Korean BBQ Buffet,"BBQ,Korean",Opens at 5pm,+61882125557,3.1,72,"184 Hindley Street, Adelaide, City Centre, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9229920000,138.5924860000",-34.9229920000,138.5924860000
Han's Sushi,"Japanese,Korean",Opens at 10am,+61882665929,4.2,71,"Shop 7, 50-52 OG Road, Klemzig","https://www.google.com/maps/dir/?api=1&destination=-34.8791078512,138.6354097724",-34.8791078512,138.6354097724
Kent Town Hotel - The Jungle Restaurant,"Bar Food,Brazilian",Opens at 5:30pm,+61883622116,2.3,124,"Kent Town Hotel, 76 Rundle Street, Kent Town, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9188431215,138.6199522018",-34.9188431215,138.6199522018
Schnithouse,"German,Bar Food",Opens at 8am,+61882329222,3.0,106,"260 Rundle Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9220928184,138.6097038165",-34.9220928184,138.6097038165
Nature's Providore,"Modern Australian,Vegetarian,Coffee and Tea,Cafe Food",Opens at 7:30am,+61881722146,3.8,63,"88 Duthy Street, Malvern, Malvern, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9625145428,138.6154460907",-34.9625145428,138.6154460907
" 
FEED Jetty Road","Burger,Sandwich,Coffee and Tea,Cafe Food",Opens at 7am,+61882943609,3.7,58,"85 Jetty Road, Glenelg, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9802365280,138.5174036399",-34.9802365280,138.5174036399
Gringo's Mexican Cantina,Mexican,Opens at 11am,+61882953524,2.8,135,"1 Colley Terrace, Glenelg, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9801249963,138.5125320777",-34.9801249963,138.5125320777
" 
I Am Thai","Asian,Thai",Opens at 11:30am,+61883523334,4.1,90,"Shop 3, Marleston Village, 200 Richmond Road, Marleston, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9426800000,138.5627140000",-34.9426800000,138.5627140000
Cafe Pellegrini,Italian,Opens at 7:30am,+61883617133,3.8,128,"179 O'Connell Street, North Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9034563789,138.5950214043",-34.9034563789,138.5950214043
The Rolling Pin Bakery & Patisserie,"Bakery,Coffee and Tea,Cafe Food",Opens at 8am,+61883317435,4.0,58,"92 St Bernards Road, Magill","https://www.google.com/maps/dir/?api=1&destination=-34.9035143967,138.6749753729",-34.9035143967,138.6749753729
" 
Pasta Deli","Deli,Italian,Coffee and Tea,Cafe Food",Opens at 8am,+61883650539,4.0,90,"31-33 Glynburn Road, Glynde","https://www.google.com/maps/dir/?api=1&destination=-34.8927415000,138.6566616000",-34.8927415000,138.6566616000
" 
Betel Leaf Cafe","Asian,Vietnamese",Opens at 11am,+61883536999,4.3,87,"Shop 2, 403 Grange Road, Seaton, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9058138889,138.5234527778",-34.9058138889,138.5234527778
" 
Grotto Pizza-Teca","Pizza,Italian",Opens at 4:30pm,+61883311114,4.2,105,"61b Edward Street, Norwood","https://www.google.com/maps/dir/?api=1&destination=-34.9218819673,138.6344062909",-34.9218819673,138.6344062909
Fair Espresso,"Healthy Food,Coffee and Tea,Cafe Food",Opens at 7am,+61882215566,4.1,88,"20 James Place, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9235594147,138.6007029936",-34.9235594147,138.6007029936
Yen Linh,Vietnamese,Opens at 10am,+61883402999,3.9,90,"131 Days Road, Croydon Park Park","https://www.google.com/maps/dir/?api=1&destination=-34.8760750000,138.5671160000",-34.8760750000,138.5671160000
The Brompton,"Australian,Bar Food",Opens at 9am,+61883400072,3.9,106,"5 First Street, Brompton, Adelaide, Croydon, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9026760000,138.5719760000",-34.9026760000,138.5719760000
" 
Warradale Hotel","Australian,Pub Food",Opens at 12noon,+61882961019,3.3,105,"234 Diagonal Road, Warradale, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-35.0074805556,138.5383444444",-35.0074805556,138.5383444444
