url,title
https://www.news.com.au/finance/real-estate/renting/aussie-rental-crisis-worsens-with-cities-named-as-worst-places-to-live/news-story/6f55d47a3c95171d1b732f6901a332b3,‘Mad’: Bad news for Aussie renters
https://www.news.com.au/finance/real-estate/desperate-to-get-on-the-property-ladder-as-prices-keep-climbing-yellow-brick-road-chair-suggests-rentvesting/news-story/d2c66d0a4b71a128efa1c9bd737654cb,Why you’re better off renting
https://www.couriermail.com.au/property/australias-investment-hot-spots-queensland-claims-top-two/news-story/a8f827eb3709e8fc043a37d91d4b6fc1,Hot property: Queensland boasts top two suburbs to invest in
https://www.theaustralian.com.au/business/property/australias-top-20-property-hot-spots-in-which-to-invest/news-story/f99ca739240f0c17d53b672fac1a5a38,Australia’s top 20 property investment hot spots
https://www.heraldsun.com.au/property/australian-hot-property-victorias-investment-hot-spots/news-story/cb3c09ce0df1dfe26e45ae548db7bdc8,Hot property: Best Victorian suburbs to invest in
https://www.couriermail.com.au/property/photos-inside-lleyton-hewitts-stylish-coast-rental-house/news-story/467248705723abed10ca7ec0b37335ec,Photos: Inside Lleyton Hewitt’s stylish Coast rental house
https://www.adelaidenow.com.au/news/south-australia/governor-to-be-asked-to-sack-attorneygeneral-vickie-chapman-after-noconfidence-motion-passes/news-story/4c2fc2bc4a76cfa821dd38e710245a19,Mr Cregan goes to see the Governor
https://www.dailytelegraph.com.au/property/demand-for-inner-city-units-to-rise-substantially/news-story/68820b88fa07f39204f6c4646eed5abf,Demand for inner city units to rise ‘substantially’
https://www.theaustralian.com.au/business/retail/david-jones-and-country-road-group-suffer-sales-slump-due-to-covid-lockdowns-in-nsw-and-vic/news-story/728140a156e8740e0f277e89819a1303,Covid puts dent in DJs’ sales and profit
https://www.news.com.au/lifestyle/real-life/true-stories/woman-breaks-down-into-tears-telling-senate-she-can-only-afford-mouldy-bread-on-government-payment/news-story/431984a62934f85f1ae4e958f79325a6,Woman eats mouldy bread to survive
https://www.couriermail.com.au/coronavirus/infectious-diseases-expert-calls-on-government-to-reward-qlders-for-job-well-done/news-story/9228f95a76f686f894bfad6dd51707d0,‘Safe to move on’: Pressure on Premier to tear down border wall
https://www.news.com.au/finance/real-estate/buying/sydney-real-estate-north-shore-mum-buys-son-1m-home-for-christmas/news-story/c77973974aabc3d9dac15e241ab18472,Mum buys son $1m house for Christmas
https://www.news.com.au/finance/real-estate/melbourne-vic/sam-gance-chemist-warehouse-boss-lists-12500aweek-toorak-rental/news-story/f0002ce214b875a07c9a54cd73b9d5dd,"Chemist Warehouse boss lists $12,500-a-week rental"
https://www.dailytelegraph.com.au/news/nsw/man-cave-storage-units-sydneys-new-investment-trend/news-story/0f5c1f21125ab630c40f5124a76e3d4b,‘Man cave’ storage units the new investment trend
https://www.dailytelegraph.com.au/news/nsw/why-the-bush-could-be-getting-more-highrise-apartments-in-bid-to-address-housing-crisis/news-story/89ad3c66af19a5a1efeebd878ec05511,Why bush mayors want high-rise apartments
https://www.dailytelegraph.com.au/property/shortterm-rental-accommodation-ailing-tourism-industry-and-holidaymakers-brace-for-fresh-pain/news-story/67a64214baa7b769c89aba2e9b8f641e,Sydney apartment market set to boom
https://www.news.com.au/national/politics/investigation-finds-parliament-rent-boys-claim-false/news-story/2cca40b48bccb6059d9ff3d59299c88a,Twist in Parliament ‘rent boys’ claim
https://www.news.com.au/entertainment/tv/reality-tv/where-alleged-block-conwoman-emese-fajk-is-now/news-story/48df1d214bd879137b4a29b822daa2b2,Secret life of alleged Block conwoman
https://www.news.com.au/finance/real-estate/covid19-vaccination-status-beginning-to-divide-share-houses-flatmates-research-reveals/news-story/ac1ab1bafab8968b7cfc4a45de328640,Awkward vax question dividing share houses
https://www.news.com.au/finance/real-estate/sydney-nsw/former-bank-teller-arjun-paliwal-reveals-simple-method-to-owning-13-homes/news-story/35f6cb53feaaff9e321b3196e7cf9dc4,Former bank teller’s simple trick to owning 13 homes
https://www.heraldsun.com.au/property/melbourne-house-price-correction-predicted-for-2022-sqm-research-boom-and-bust-report/news-story/93090c84844f18d9a7bf6fdf30f61ef4,The suburbs best placed to weather a correction
https://www.dailytelegraph.com.au/property/demand-for-inner-city-units-to-rise-substantially/news-story/68820b88fa07f39204f6c4646eed5abf,Housing affordability crisis hits regional Australia
https://www.news.com.au/finance/real-estate/renting/aussie-rental-crisis-worsens-with-cities-named-as-worst-places-to-live/news-story/6f55d47a3c95171d1b732f6901a332b3,‘Mad’: Bad news for Aussie renters
https://www.news.com.au/finance/real-estate/desperate-to-get-on-the-property-ladder-as-prices-keep-climbing-yellow-brick-road-chair-suggests-rentvesting/news-story/d2c66d0a4b71a128efa1c9bd737654cb,Why you’re better off renting
https://www.couriermail.com.au/property/australias-investment-hot-spots-queensland-claims-top-two/news-story/a8f827eb3709e8fc043a37d91d4b6fc1,Hot property: Queensland boasts top two suburbs to invest in
https://www.theaustralian.com.au/business/property/australias-top-20-property-hot-spots-in-which-to-invest/news-story/f99ca739240f0c17d53b672fac1a5a38,Australia’s top 20 property investment hot spots
https://www.heraldsun.com.au/property/australian-hot-property-victorias-investment-hot-spots/news-story/cb3c09ce0df1dfe26e45ae548db7bdc8,Hot property: Best Victorian suburbs to invest in
https://www.couriermail.com.au/property/photos-inside-lleyton-hewitts-stylish-coast-rental-house/news-story/467248705723abed10ca7ec0b37335ec,Photos: Inside Lleyton Hewitt’s stylish Coast rental house
https://www.adelaidenow.com.au/news/south-australia/governor-to-be-asked-to-sack-attorneygeneral-vickie-chapman-after-noconfidence-motion-passes/news-story/4c2fc2bc4a76cfa821dd38e710245a19,Mr Cregan goes to see the Governor
https://www.theaustralian.com.au/business/retail/david-jones-and-country-road-group-suffer-sales-slump-due-to-covid-lockdowns-in-nsw-and-vic/news-story/728140a156e8740e0f277e89819a1303,Covid puts dent in DJs’ sales and profit
https://www.news.com.au/lifestyle/real-life/true-stories/woman-breaks-down-into-tears-telling-senate-she-can-only-afford-mouldy-bread-on-government-payment/news-story/431984a62934f85f1ae4e958f79325a6,Woman eats mouldy bread to survive
https://www.couriermail.com.au/coronavirus/infectious-diseases-expert-calls-on-government-to-reward-qlders-for-job-well-done/news-story/9228f95a76f686f894bfad6dd51707d0,‘Safe to move on’: Pressure on Premier to tear down border wall
https://www.news.com.au/finance/real-estate/buying/sydney-real-estate-north-shore-mum-buys-son-1m-home-for-christmas/news-story/c77973974aabc3d9dac15e241ab18472,Mum buys son $1m house for Christmas
https://www.news.com.au/finance/real-estate/melbourne-vic/sam-gance-chemist-warehouse-boss-lists-12500aweek-toorak-rental/news-story/f0002ce214b875a07c9a54cd73b9d5dd,"Chemist Warehouse boss lists $12,500-a-week rental"
https://www.dailytelegraph.com.au/news/nsw/man-cave-storage-units-sydneys-new-investment-trend/news-story/0f5c1f21125ab630c40f5124a76e3d4b,‘Man cave’ storage units the new investment trend
https://www.dailytelegraph.com.au/news/nsw/why-the-bush-could-be-getting-more-highrise-apartments-in-bid-to-address-housing-crisis/news-story/89ad3c66af19a5a1efeebd878ec05511,Why bush mayors want high-rise apartments
https://www.dailytelegraph.com.au/property/shortterm-rental-accommodation-ailing-tourism-industry-and-holidaymakers-brace-for-fresh-pain/news-story/67a64214baa7b769c89aba2e9b8f641e,Sydney apartment market set to boom
